"";"chr";"name_600k";"pos_bp_600k";"pos_cM_600k";"name_50k";"pos_bp_50k";"pos_cM_estimated"
"28";1;"AX-90566298";3109657;6,39359069897967;"SYN2545";3014858;7,44711581271473
"29";1;"AX-90561292";3173334;6,5580373438565;"SYN11127";3078783;7,61156245759156
"30";1;"AX-90568162";3279759;6,83198955081454;"SYN30751";3186152;7,8855146645496
"31";1;"AX-90568156";3289522;6,85706502954866;"SYN30737";3195916;7,91059014328372
"32";1;"AX-90528485";3381761;7,09351150532645;"PZE-101003026";3282920;8,14703661906151
"33";1;"AX-90573021";3483885;7,35432432485739;"SYN9377";3368128;8,40784943859245
"34";1;"AX-90573017";3486548;7,36111166065947;"SYN9363";3365465;8,41463677439453
"35";1;"AX-91333358";3743616;8,01305717078315;"PZE-101003785";3665549;9,06658228451821
"36";1;"AX-90561433";3805551;8,16916788722484;"SYN11493";3708518;9,2226930009599
"37";1;"AX-90528494";3964537;8,5681986134956;"PZE-101004387";3882714;9,62172372723065
"38";1;"AX-91331139";4340648;9,50247238567654;"PUT-163a-29543981-1758";4241458;10,5559974994116
"39";1;"AX-90571786";4419096;9,69562885091395;"SYN5934";4306991;10,749153964649
"40";1;"AX-90528501";4728184;10,4509606195643;"PZE-101005770";4610354;11,5044857332993
"41";1;"AX-91377402";4833091;10,7052639812012;"SYN7752";4715610;11,7587890949362
"42";1;"AX-91377403";4838210;10,7176462146894;"SYN7755";4720726;11,7711713284245
"43";1;"AX-90561144";4908381;10,8871316440669;"SYN10711";4765903;11,9406567578019
"44";1;"AX-91366065";4908782;10,8880988512198;"SYN10715";4766304;11,9416239649549
"45";1;"AX-90528505";4916040;10,9056024364527;"PZE-101006745";4796398;11,9591275501878
"46";1;NA;NA;NA;"PZE-101004923";4021601;9,99449453876935
"47";1;NA;NA;NA;"PZA00393.1";4193258;10,3945750534083
"48";1;"AX-90561367";5208479;11,6067310619726;"SYN11325";5092856;12,6602561757077
"49";1;"AX-90569965";5413000;12,0923112109326;"SYN36149";5326925;13,1458363246677
"50";1;"AX-91365881";5522697;12,3511502698874;"SYN10139";5438841;13,4046753836225
"51";1;"AX-91333376";5723221;12,8214157196042;"PZE-101009163";5653264;13,8749408333392
"52";1;"AX-91331995";5812457;13,0294944256221;"PUT-163a-86470789-4503";5740373;14,0830195393571
"53";1;"AX-90528510";5883051;13,1935838152196;"PZE-101009215";5809260;14,2471089289547
"54";1;NA;NA;NA;"ZM013498-0200";5002749;12,4443541851263
"55";1;NA;NA;NA;"PZA01022.1";5327583;13,1473923254921
"56";1;NA;NA;NA;"PUT-163a-86470789-4502";5740302;14,0828497314017
"57";1;NA;NA;NA;"PZE-101009310";5749874;14,105689393491
"58";1;"AX-90571923";6272688;14,0910305017864;"SYN6312";6196499;15,1445556155214
"59";1;"AX-90571929";6311142;14,1788490128224;"SYN6320";6234957;15,2323741265574
"60";1;"AX-90526273";6322458;14,2046660545323;"PUT-163a-29543882-1755";6246273;15,2581911682674
"61";1;"AX-90528519";6528519;14,6727525095162;"PZE-101010917";6535828;15,7262776232512
"62";1;"AX-91366956";6909023;15,5270197601253;"SYN13165";6922413;16,5805448738604
"63";1;NA;NA;NA;"PUT-163a-13237058-195";6198480;15,1490829183143
"64";1;NA;NA;NA;"SYN36524";6424100;15,5560805455472
"65";1;NA;NA;NA;"PUT-163a-148991740-712";6547172;15,7467800172601
"66";1;NA;NA;NA;"ZM012984-0229";6838726;16,3987378229141
"67";1;NA;NA;NA;"SYN13182";6843256;16,408665354814
"68";1;"AX-91377382";7033847;15,8044298701755;"SYN7705";7046272;16,8579549839106
"69";1;"AX-90572443";7152315;16,0664277155475;"SYN7696";7168240;17,1199528292825
"70";1;"AX-90564549";7177832;16,1226962091949;"SYN20420";7193037;17,1762213229299
"71";1;"AX-90561734";7341171;16,4815112439842;"SYN12336";7343217;17,5350363577193
"72";1;"AX-91367029";7560377;16,9593418384115;"SYN13397";7562088;18,0128669521466
"73";1;"AX-90562164";7699596;17,2606173785342;"SYN13518";7699553;18,3141424922693
"74";1;"AX-90528528";7844549;17,5724958630362;"PZE-101013713";7824668;18,6260209767713
"75";1;"AX-90571967";7987924;17,8791740961357;"SYN6411";7966192;18,9326992098708
"76";1;NA;NA;NA;"SYN7698";7162058;17,1064154319242
"77";1;NA;NA;NA;"PHM1699.29";7864116;18,7076060122038
"78";1;"AX-90528533";8048178;18,0075229977808;"PZE-101014135";8032199;19,0610481115159
"79";1;"AX-90528534";8116833;18,1533828849272;"PZE-101014266";8100477;19,2069079986623
"80";1;"AX-91377025";8152783;18,2295968646912;"SYN6739";8136428;19,2831219784262
"81";1;"AX-90569780";8371577;18,6910310526356;"SYN35550";8351543;19,7445561663706
"82";1;"AX-90569778";8375774;18,6998421274332;"SYN35543";8355740;19,7533672411683
"83";1;"AX-91366503";8662486;19,2981787362605;"SYN11911";8617553;20,3517038499955
"84";1;"AX-90561577";8667376;19,3083226094531;"SYN11902";8622443;20,3618477231882
"85";1;"AX-91366500";8668145;19,3099176463238;"SYN11908";8623212;20,3634427600589
"86";1;"AX-90561583";8675949;19,3261016154995;"SYN11910";8631016;20,3796267292345
"87";1;"AX-90528537";8678756;19,3319215134589;"PZE-101015471";8633823;20,385446627194
"88";1;"AX-90528540";9351606;20,7077030823274;"PZE-101016496";9305256;21,7612281960625
"89";1;"AX-90564822";9405337;20,8159236028749;"SYN21171";9359056;21,8694487166099
"90";1;"AX-90562379";9489098;20,9841469229539;"SYN14141";9434247;22,037672036689
"91";1;"AX-90562383";9489406;20,9847644214603;"SYN14145";9434555;22,0382895351953
"92";1;"AX-90561095";9582887;21,1718160519025;"SYN10549";9526267;22,2253411656376
"93";1;"AX-91333410";9619274;21,2444283608994;"PZE-101017187";9562206;22,2979534746345
"94";1;"AX-91376713";10061907;22,118955673931;"SYN5905";9989779;23,1724807876661
"95";1;"AX-90528548";10064272;22,1235849604906;"PZE-101017580";9992144;23,1771100742256
"96";1;NA;NA;NA;"PZA00447.6";9052677;21,277804018241
"97";1;NA;NA;NA;"PZB01915.1";9058572;21,2936052552029
"98";1;"AX-90528557";10613646;23,1865770757573;"PZE-101018206";10547214;24,2401021894924
"99";1;"AX-90528556";10618060;23,1950186526554;"PZE-101018199";10542800;24,2485437663905
"100";1;"AX-91333419";10627304;23,2126922956983;"PZE-101018023";10533538;24,2662174094334
"101";1;"AX-90528558";10748710;23,4441700706913;"PZE-101018214";10580378;24,4976951844264
"102";1;"AX-90528568";11010754;23,9397628053067;"PZE-101018668";10844119;24,9932879190417
"103";1;"AX-91333438";11067464;24,0462939718986;"PZE-101018769";10900905;25,0998190856337
"104";1;"AX-90528572";11071696;24,0542336221283;"PZE-101018818";10905137;25,1077587358633
"105";1;"AX-90528573";11071958;24,0547251131699;"PZE-101018826";10905399;25,1082502269049
"106";1;"AX-90528575";11161659;24,2226762159085;"PZE-101019294";10995423;25,2762013296436
"107";1;NA;NA;NA;"PZE-101018400";10667363;24,6818359983957
"108";1;"AX-90528576";11300631;24,4816191604519;"PZE-101019334";11110601;25,535144274187
"109";1;"AX-91376667";11671250;25,1647386758732;"SYN5764";11481415;26,2182637896082
"110";1;"AX-91333450";11677899;25,1768956465038;"PZE-101019726";11488064;26,2304207602389
"111";1;"AX-90528585";11678639;25,1782484421238;"PZE-101019728";11488804;26,2317735558588
"112";1;"AX-90528586";11723931;25,2609654474272;"PZE-101019767";11532836;26,3144905611622
"113";1;"AX-91333454";11738023;25,2866690850614;"PZE-101019781";11546601;26,3401941987965
"114";1;"AX-90528588";11878739;25,5424851355935;"PZE-101019823";11686852;26,5960102493285
"115";1;"AX-90528589";11952839;25,6765776093457;"PZE-101019853";11761103;26,7301027230808
"116";1;"AX-90569340";12180614;26,0861037657716;"SYN34342";11991910;27,1396288795067
"117";1;NA;NA;NA;"PUT-163a-4647212-2116";11985908;27,1290635601435
"118";1;"AX-90569166";12364900;26,4145175559081;"SYN33817";12175585;27,4680426696432
"119";1;"AX-90569170";12378414;26,4384982961875;"SYN33825";12189099;27,4920234099225
"120";1;"AX-90528593";12445075;26,5565848115747;"PZE-101020931";12251110;27,6101099253097
"121";1;"AX-91333463";12546745;26,7360354626389;"PZE-101021308";12352106;27,789560576374
"122";1;"AX-91333464";12557144;26,7543456658332;"PZE-101021455";12362508;27,8078707795683
"123";1;"AX-90564630";12716273;27,0335108985469;"SYN20618";12522118;28,087036012282
"124";1;"AX-91333473";12766559;27,1213306110086;"PZE-101021997";12570280;28,1748557247436
"125";1;"AX-90528609";13138939;27,7657349195875;"PZE-101022796";12946006;28,8192600333225
"126";1;NA;NA;NA;"PZE-101020971";12255563;27,6179756502696
"127";1;NA;NA;NA;"PZA03557.1";12989714;28,8894573038188
"128";1;"AX-90528611";13781740;28,8538289034464;"PZE-101023271";13559407;29,9073540171814
"129";1;"AX-91369318";13813867;28,9074140058004;"SYN20032";13591537;29,9609391195355
"130";1;"AX-90564392";13827305;28,9298050948499;"SYN20031";13604975;29,983330208585
"131";1;"AX-91369319";13864423;28,991584582725;"SYN20034";13642580;30,0451096964601
"132";1;"AX-91367456";13906188;29,0609785398937;"SYN14642";13684372;30,1145036536288
"133";1;"AX-90528612";13962737;29,1547343563482;"PZE-101023625";13739473;30,2082594700832
"134";1;NA;NA;NA;"SYN14644";13686786;30,1185779748594
"135";1;"AX-91333480";14248831;29,6255147745102;"PZE-101023852";14032344;30,6790398882453
"136";1;"AX-90566165";14845185;30,5879756527736;"SYN25070";14637851;31,6415007665087
"137";1;"AX-90528619";14917957;30,703695955344;"PZE-101024556";14709426;31,7572210690791
"138";1;"AX-90528621";15027308;30,8768831647084;"PZE-101024700";14818025;31,9304082784434
"139";1;"AX-90528622";15056688;30,9232714794164;"PZE-101024733";14847409;31,9767965931514
"140";1;"AX-90528623";15062080;30,9317783861425;"PZE-101024779";14852801;31,9853034998775
"141";1;"AX-91371075";15062326;30,9321664494419;"SYN25015";14853047;31,985691563177
"142";1;"AX-90568955";15177923;31,1140518802525;"SYN33160";14943366;32,1675769939876
"143";1;"AX-90568956";15194939;31,1407468576982;"SYN33162";14960382;32,1942719714332
"144";1;NA;NA;NA;"PZA01497.1";14639175;31,6437162265614
"145";1;"AX-90528626";15299742;31,3047191758262;"PZE-101025101";15067963;32,3582442895613
"146";1;"AX-91373237";15303067;31,3099088982885;"SYN31161";15071288;32,3634340120235
"147";1;"AX-91373239";15402077;31,4640942813105;"SYN31166";15170295;32,5176193950456
"148";1;"AX-90568309";15402167;31,4642341268257;"SYN31163";15170385;32,5177592405607
"149";1;"AX-90573274";15402623;31,464942668824;"SYNGENTA10955";15170841;32,518467782559
"150";1;"AX-91333497";15973778;32,3411968521674;"PZE-101026148";15739094;33,3947219659024
"151";1;"AX-91376443";16013942;32,4019779869542;"SYN5065";15781931;33,4555031006893
"152";1;"AX-90528633";16041430;32,4435132632888;"PZE-101026314";15808888;33,4970383770239
"153";1;"AX-90526917";16229333;32,7260746418752;"PUT-163a-76282462-3845";15992259;33,7795997556102
"154";1;NA;NA;NA;"PUT-163a-149070811-822";15071787;32,3642127920791
"155";1;"AX-91333507";16745692;33,4903860868055;"PZE-101027182";16371704;34,5439112005406
"156";1;"AX-90528647";16972216;33,8201167273126;"PZE-101027798";16598661;34,8736418410476
"157";1;"AX-90526411";16977253;33,8274103869524;"PUT-163a-50327548-2188";16603698;34,8809355006875
"158";1;"AX-91331548";17148270;34,0740633554314;"PUT-163a-71311320-3113";16784467;35,1275884691665
"159";1;"AX-90528651";17152122;34,0795970536111;"PZE-101028104";16788319;35,1331221673462
"160";1;"AX-90569980";17156324;34,0856324545714;"SYN362";16792521;35,1391575683064
"161";1;"AX-91333520";17165877;34,0993493158143;"PZE-101028242";16802074;35,1528744295493
"162";1;"AX-91375078";17190112;34,1341210281218;"SYN367";16826305;35,1876461418568
"163";1;"AX-90528654";17190150;34,1341755195448;"PZE-101028351";16826343;35,1877006332798
"164";1;"AX-90528657";17806779;35,0061695066515;"PZE-101028930";17493297;36,0596946203865
"165";1;"AX-91333525";17841640;35,0547422190166;"PZE-101029123";17528163;36,1082673327517
"166";1;"AX-91373930";17930387;35,178048584056;"SYN33277";17625530;36,2315736977911
"167";1;"AX-90528662";18052835;35,3473639592242;"PZE-101029707";17748552;36,4008890729593
"168";1;"AX-90528663";18132036;35,4563775340778;"PZE-101029737";17828621;36,5099026478128
"169";1;NA;NA;NA;"PZE-101029990";17963080;36,7089204561304
"170";1;NA;NA;NA;"PZE-101029991";17963743;36,7099125378943
"171";1;NA;NA;NA;"SYN10529";17964481;36,7110163261539
"172";1;NA;NA;NA;"SYN10525";17965654;36,7127695971591
"173";1;NA;NA;NA;"SYN10535";17965912;36,7131550423783
"174";1;"AX-91333538";18513827;35,9763913915209;"PZE-101030211";18190764;37,0299165052559
"175";1;"AX-90528674";18524708;35,9910792670939;"PZE-101030251";18201645;37,0446043808289
"176";1;"AX-91333543";18525788;35,9925367223075;"PZE-101030261";18202725;37,0460618360425
"177";1;"AX-90528683";18969916;36,5858227869766;"PZE-101030561";18643856;37,6393479007117
"178";1;"AX-90528684";19070592;36,7186405282541;"PZE-101030616";18758909;37,7721656419891
"179";1;"AX-90528686";19295848;37,0135991321222;"PZE-101030692";18957087;38,0671242458573
"180";1;"AX-90528687";19323131;37,0491178530846;"PZE-101030875";18984396;38,1026429668197
"181";1;NA;NA;NA;"PZA00358.12";18980563;38,0978520996999
"182";1;"AX-90528690";19413186;37,1660416122197;"PZE-101031043";19080916;38,2195667259548
"183";1;"AX-90528691";19432436;37,1909723248233;"PZE-101031053";19099272;38,2444974385584
"184";1;"AX-90528692";19433839;37,1927884906067;"PZE-101031077";19100675;38,2463136043417
"185";1;"AX-90528693";19436966;37,1968359312309;"PZE-101031146";19103803;38,2503610449659
"186";1;"AX-90528695";19569359;37,3676664052593;"PZE-101031377";19236353;38,4211915189944
"187";1;"AX-90528699";19967084;37,8746468052672;"PZE-101032015";19640811;38,9281719190022
"188";1;"AX-91375779";20022929;37,9450917049349;"SYN38628";19693428;38,9986168186699
"189";1;"AX-90528701";20025760;37,9486580029379;"PZE-101032231";19696259;39,002183116673
"190";1;NA;NA;NA;"SYNGENTA18049";19253162;38,4394113222977
"191";1;NA;NA;NA;"PUT-163a-148944618-481";19328048;38,5133467262122
"192";1;"AX-91333574";20412411;38,43138439964;"PZE-101032702";20096765;39,4849095133751
"193";1;"AX-90528708";20412451;38,4314338945163;"PZE-101032703";20096805;39,4849590082513
"194";1;"AX-91333576";20412598;38,4316157874009;"PZE-101032704";20096952;39,485140901136
"195";1;"AX-90569856";20422246;38,4435512001034;"SYN35792";20106601;39,4970763138385
"196";1;"AX-91333587";21296996;39,503864444563;"PZE-101032978";20999934;40,557389558298
"197";1;NA;NA;NA;"SYN27888";20642051;40,1341853794102
"198";1;"AX-90563916";21772113;40,0620224214422;"SYN18706";21467000;41,1155475351773
"199";1;"AX-90528728";21980824;40,3033516300286;"PZE-101033622";21684527;41,3568767437637
"200";1;"AX-91333596";22007133;40,3336068258274;"PZE-101033801";21710836;41,3871319395625
"201";1;"AX-91333597";22018605;40,3467880014275;"PZE-101033968";21722308;41,4003131151626
"202";1;"AX-90528732";22056213;40,3899499315857;"PZE-101034052";21759934;41,4434750453208
"203";1;NA;NA;NA;"PZA00425.11";21468295;41,1170009158401
"204";1;NA;NA;NA;"PZE-101033489";21568570;41,2277269280816
"205";1;"AX-90564011";22735542;41,156771846492;"SYN18926";22379568;42,2102969602271
"206";1;"AX-90564005";22738816;41,1604092867484;"SYN18916";22382842;42,2139344004835
"207";1;"AX-90528738";22739284;41,1609291933517;"PZE-101034427";22383310;42,2144543070867
"208";1;"AX-90564008";22841701;41,2744342050741;"SYN18921";22437974;42,3279593188091
"209";1;"AX-90526559";23008089;41,4576895549495;"PUT-163a-60353197-2708";22632923;42,5112146686845
"210";1;"AX-90526558";23008188;41,4577981702504;"PUT-163a-60353197-2707";22633022;42,5113232839855
"211";1;"AX-91333609";23148843;41,6116113061727;"PZE-101035105";22774453;42,6651364199078
"212";1;NA;NA;NA;"PHM13619.5";22253283;42,0622168263964
"213";1;NA;NA;NA;"PHM3226.15";22596124;42,4798377465402
"214";1;"AX-90528744";23441112;41,9280297600586;"PZE-101035341";23054862;42,9815548737937
"215";1;"AX-90528745";23563189;42,0589288599465;"PZE-101035605";23193950;43,1124539736815
"216";1;"AX-90528748";23614480;42,1137057958496;"PZE-101035737";23229801;43,1672309095847
"217";1;"AX-91366970";23634012;42,1345310410857;"SYN13191";23249289;43,1880561548208
"218";1;"AX-91333618";24006425;42,528016577764;"PZE-101036305";23610626;43,581541691499
"219";1;"AX-90528753";24011761;42,5336053159754;"PZE-101036318";23615962;43,5871304297105
"220";1;NA;NA;NA;"PZD00096.1";23241186;43,1800151733208
"221";1;"AX-90572190";24672989;43,215578858465;"SYN7039";24308521;44,2691039722
"222";1;"AX-90528765";24776385;43,3203466161095;"PZE-101037142";24408873;44,3738717298446
"223";1;"AX-90528767";24874591;43,4193935015567;"PZE-101037211";24510735;44,4729186152918
"224";1;"AX-90571641";24949696;43,4948392748471;"SYN5538";24585840;44,5483643885822
"225";1;"AX-90528769";24949731;43,4948743727549;"PZE-101037265";24585875;44,54839948649
"226";1;"AX-91333642";25635610;44,1719215985889;"PZE-101038026";25287214;45,225446712324
"227";1;"AX-91367985";25756031;44,2886045775153;"SYN16271";25411160;45,3421296912503
"228";1;"AX-91367984";25756121;44,2886915429579;"SYN16264";25411250;45,3422166566929
"229";1;"AX-90563059";25758565;44,2910530006473;"SYN16262";25413694;45,3445781143823
"230";1;"AX-90563056";25770744;44,3028167289254;"SYN16258";25425873;45,3563418426604
"231";1;"AX-90563063";25770961;44,3030262702311;"SYN16274";25426090;45,3565513839661
"232";1;"AX-91373847";25929670;44,4557233187497;"SYN33012";25634022;45,5092484324848
"233";1;"AX-91333656";25931063;44,4570586422633;"PZE-101038611";25635415;45,5105837559983
"234";1;"AX-90568011";26136719;44,6532684980117;"SYN30334";25824422;45,7067936117468
"235";1;NA;NA;NA;"SYN16268";25426532;45,3569773423812
"236";1;"AX-90528794";26609390;45,097305427327;"PZE-101039198";26433039;46,1508305410621
"237";1;"AX-90528796";26609865;45,0977468601892;"PZE-101039207";26433514;46,1512719739243
"238";1;"AX-90567033";26614707;45,1022461433809;"SYN27581";26438356;46,155771257116
"239";1;"AX-91333666";26769366;45,2454387020716;"PZE-101039351";26574295;46,2989638158067
"240";1;"AX-91333669";26886659;45,3533671324711;"PZE-101039400";26683529;46,4068922462062
"241";1;"AX-90566015";27049382;45,5021515474416;"SYN246";26825328;46,5556766611767
"242";1;"AX-91333676";27090785;45,5398334856217;"PZE-101039648";26917064;46,5933585993568
"243";1;"AX-90528809";27133902;45,5790004747295;"PZE-101039655";26948708;46,6325255884646
"244";1;"AX-90528813";27572153;45,9728106868997;"PZE-101040594";27379439;47,0263358006348
"245";1;"AX-91333683";27588800;45,9876170431549;"PZE-101040607";27395156;47,04114215689
"246";1;"AX-91333688";27743915;46,1250508845141;"PZE-101040783";27552783;47,1785759982491
"247";1;"AX-91333689";27746393;46,1272386790725;"PZE-101040838";27555261;47,1807637928075
"248";1;"AX-90528822";27817762;46,190145419707;"PZE-101040895";27626654;47,243670533442
"249";1;"AX-90572374";27819240;46,1914460503475;"SYN75";27628132;47,2449711640825
"250";1;"AX-90571915";27836587;46,2067048758446;"SYN63";27645479;47,2602299895797
"251";1;NA;NA;NA;"PZE-101040678";27504708;47,13710030635
"252";1;NA;NA;NA;"SYN24635";27916969;47,4980638284647
"253";1;NA;NA;NA;"ZM010667-0876";27978827;47,5519217752705
"254";1;"AX-90565475";28569231;46,8405105378021;"SYN23119";28376885;47,8940356515371
"255";1;"AX-90528827";28609433;46,8746969362893;"PZE-101041588";28417212;47,9282220500244
"256";1;"AX-91333696";28614151;46,8787049884502;"PZE-101041602";28421930;47,9322301021853
"257";1;"AX-91376979";28803903;47,0392155143738;"SYN6614";28610618;48,0927406281089
"258";1;"AX-90528833";28808445;47,0430411860866;"PZE-101042009";28615160;48,0965662998216
"259";1;"AX-90528838";28836087;47,0663072653925;"PZE-101042060";28642804;48,1198323791276
"260";1;"AX-91333707";28961346;47,1713841066627;"PZE-101042156";28766398;48,2249092203977
"261";1;"AX-90528841";28999621;47,2033772894842;"PZE-101042196";28796566;48,2569024032192
"262";1;"AX-91333711";29127199;47,3096311011641;"PZE-101042341";28927650;48,3631562148992
"263";1;NA;NA;NA;"SYNGENTA14642";28799596;48,2599805149967
"264";1;"AX-90565601";29509752;47,6247275450276;"SYN23448";29255108;48,6782526587627
"265";1;"AX-90565602";29510106;47,6250167100606;"SYN23449";29255462;48,6785418237956
"266";1;"AX-91376989";29617224;47,712313390367;"SYN6638";29360366;48,7658385041021
"267";1;"AX-90528847";29672570;47,7572603266396;"PZE-101043180";29400930;48,8107854403747
"268";1;"AX-90528848";29675617;47,7597317107285;"PZE-101043186";29403977;48,8132568244636
"269";1;"AX-91333719";29838986;47,8917655829021;"PZE-101043507";29550398;48,9452906966371
"270";1;"AX-90528852";29840226;47,8927642083872;"PZE-101043512";29551638;48,9462893221223
"271";1;"AX-90528853";29956273;47,9859876525814;"PZE-101043600";29681768;49,0395127663164
"272";1;"AX-90528858";30002305;48,0228384084507;"PZE-101043674";29757662;49,0763635221858
"273";1;"AX-90528859";30087860;48,0911372919886;"PZE-101043682";29784435;49,1446624057236
"274";1;"AX-91333730";30477300;48,3989146208268;"PZE-101044115";30216622;49,4524397345618
"275";1;"AX-90573384";30521113;48,4332247445568;"SYNGENTA1435";30259309;49,4867498582918
"276";1;"AX-90573743";30793981;48,6454963382313;"ZM009766-0333";30534349;49,6990214519663
"277";1;"AX-91333738";30944749;48,7617509714631;"PZE-101044721";30612195;49,8152760851981
"278";1;"AX-91333740";30978249;48,7874836407097;"PZE-101044770";30695765;49,8410087544448
"279";1;"AX-91333748";31039399;48,8343634751888;"PZE-101045061";30744186;49,8878885889238
"280";1;"AX-90528879";31060446;48,8504714923029;"PZE-101045021";30762295;49,903996606038
"281";1;"AX-90528877";31106169;48,8854167582397;"PZE-101045001";30805134;49,9389418719747
"282";1;"AX-90528878";31107329;48,8863024687301;"PZE-101045009";30806294;49,9398275824652
"283";1;"AX-91333750";31193712;48,952140936542;"PZE-101045068";30889881;50,0056660502771
"284";1;"AX-90528890";31357089;49,0760254011205;"PZE-101045197";31060951;50,1295505148555
"285";1;"AX-91333757";31360873;49,0788849064685;"PZE-101045153";31064736;50,1324100202036
"286";1;"AX-90528887";31361877;49,079643538264;"PZE-101045130";31065740;50,133168651999
"287";1;"AX-90528893";31513269;49,1936822241032;"PZE-101045249";31206651;50,2472073378382
"288";1;"AX-91333762";31549655;49,220986143928;"PZE-101045301";31243038;50,2745112576631
"289";1;"AX-90572722";32138173;49,6570986746512;"SYN8490";31870063;50,7106237883863
"290";1;"AX-91333771";32146562;49,6632414755605;"PZE-101046057";31861674;50,7167665892955
"291";1;"AX-90528904";32157788;49,671458465539;"PZE-101046080";31850441;50,7249835792741
"292";1;"AX-90528905";32249047;49,7381214179583;"PZE-101046128";31976053;50,7916465316934
"293";1;"AX-90528906";32249593;49,7385195388157;"PZE-101046132";31976599;50,7920446525507
"294";1;"AX-91333775";32429565;49,8692835370003;"PZE-101046735";32154688;50,9228086507353
"295";1;"AX-90528908";32431974;49,8710276217155;"PZE-101046755";32157097;50,9245527354505
"296";1;"AX-91333779";32480400;49,9060526490294;"PZE-101046858";32205527;50,9595777627645
"297";1;"AX-90528912";32480424;49,9060699910879;"PZE-101046859";32205551;50,9595951048229
"298";1;"AX-90527089";32819027;50,1491404189951;"PUT-163a-78116065-4356";32542195;51,2026655327302
"299";1;"AX-90528918";33037344;50,3041932581781;"PZE-101047390";32758011;51,3577183719132
"300";1;"AX-90528920";33150402;50,3839850164679;"PZE-101047611";32871182;51,4375101302029
"301";1;"AX-91331003";33305514;50,4929051233782;"PUT-163a-18162870-1232";32994296;51,5464302371132
"302";1;NA;NA;NA;"PZE-101046835";32197696;50,9539184107802
"303";1;"AX-90560967";33442153;50,5883311998227;"SYN10151";33112425;51,6418563135577
"304";1;"AX-90528924";33546293;50,660736081723;"PZE-101048115";33216955;51,714261195458
"305";1;"AX-90571368";33651289;50,7334549678169;"SYN468";33321536;51,7869800815519
"306";1;"AX-90528928";33752042;50,8029723654032;"PZE-101048629";33422254;51,8564974791383
"307";1;"AX-90528929";33789155;50,8285151570402;"PZE-101048744";33459445;51,8820402707753
"308";1;"AX-91333798";33851768;50,8715301014301;"PZE-101048807";33526063;51,9250552151652
"309";1;"AX-91333800";34000630;50,9734074160227;"PZE-101048890";33672182;52,0269325297578
"310";1;"AX-91333802";34111908;51,0492079257595;"PZE-101049044";33799525;52,1027330394945
"311";1;"AX-90528936";34143803;51,0708786961204;"PZE-101049120";33831008;52,1244038098554
"312";1;"AX-90569392";34218324;51,121415606304;"SYN34505";33885206;52,1749407200391
"313";1;"AX-90528942";34592871;51,3734195045178;"PZE-101049608";34255898;52,4269446182529
"314";1;"AX-90526505";34654695;51,4147012272605;"PUT-163a-60346415-2551";34317549;52,4682263409955
"315";1;"AX-90528943";34702050;51,4462622219261;"PZE-101049707";34397744;52,4997873356612
"316";1;"AX-90528944";34965834;51,6211382168419;"PZE-101049995";34659667;52,6746633305769
